nearest_facility_id,nearest_facility_type,nearest_facility_name,thermal_detections,active_days,mean_frp_mw,median_frp_mw,max_frp_mw,std_frp_mw,mean_brightness_k,max_brightness_k,mean_t31_k,max_t31_k,high_confidence_detections,night_detections,mean_distance_km,min_distance_km,detections_per_active_day,detections_per_month,high_confidence_fraction,night_fraction,mean_daily_detections,median_daily_detections,max_daily_detections,std_daily_detections,mean_daily_total_frp_mw,max_daily_total_frp_mw
L100000102082,coal_power,Vizag Steel Plant power station,627,218,2.356044657097289,1.95,9.18,1.3910745787431962,314.77537480063796,349.53,293.11728867623606,313.91,0,529,0.6546716714596804,0.1111919303589206,2.876146788990826,52.25,0.0,0.8437001594896332,2.876146788990826,3.0,7,1.6030730329154101,6.776330275229358,19.29
L100000102111,coal_power,Moma power station,1,1,0.57,0.57,0.57,,305.62,305.62,289.82,289.82,0,1,0.7941762101935513,0.7941762101935513,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1,,0.57,0.57
L100000102118,coal_power,Prabhawati Nagar power station,1,1,4.39,4.39,4.39,,329.28,329.28,300.08,300.08,0,0,0.1958263785317378,0.1958263785317378,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,4.39,4.39
L100000102121,coal_power,Adani Raigarh Thermal Power Plant,1,1,5.35,5.35,5.35,,338.34,338.34,312.05,312.05,0,0,0.6503652036017334,0.6503652036017334,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,5.35,5.35
L100000102122,coal_power,Amoda power station,7,6,3.787142857142857,2.65,7.35,2.0867735405462207,337.81142857142856,343.34,302.4428571428571,303.76,0,0,0.7366840095574266,0.4304983653946267,1.1666666666666667,0.5833333333333334,0.0,0.0,1.1666666666666667,1.0,2,0.408248290463863,4.418333333333333,7.35
L100000102123,coal_power,Arasmeta Cement Plant power station,1,1,8.59,8.59,8.59,,345.71,345.71,304.25,304.25,0,0,0.9746801481485814,0.9746801481485814,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,8.59,8.59
L100000102125,coal_power,BALCO Korba power station,1,1,2.22,2.22,2.22,,338.19,338.19,312.98,312.98,0,0,0.9196762340437642,0.9196762340437642,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.22,2.22
L100000102128,coal_power,Bhaiso power station,3,2,5.746666666666666,7.55,7.62,3.1842790916207915,337.8766666666666,341.53,302.75,303.89,0,0,0.49361460259958867,0.2138708363050027,1.5,0.25,0.0,0.0,1.5,1.5,2,0.7071067811865476,8.62,15.17
L100000102132,coal_power,Bhilai Steel power station,1,1,2.89,2.89,2.89,,345.03,345.03,307.19,307.19,0,0,0.9958077191744475,0.9958077191744475,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.89,2.89
L100000102134,coal_power,Birra Thermal Power Project,6,4,4.235,3.885,9.23,2.72344451017457,337.1116666666667,350.96,301.51166666666666,305.81,0,0,0.8780044024421464,0.7111725507308017,1.5,0.5,0.0,0.0,1.5,1.0,3,1.0,6.3525,9.9
L100000102135,coal_power,BLA Chhattisgarh power station,2,2,2.99,2.99,3.48,0.6929646455628163,341.92,344.6,308.27,311.97,0,0,0.8096510983500572,0.7440928640418558,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,1,0.0,2.99,3.48
L100000102138,coal_power,Champa Adhunik power station,1,1,12.0,12.0,12.0,,340.56,340.56,303.29,303.29,0,0,0.7110833864730862,0.7110833864730862,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,12.0,12.0
L100000102139,coal_power,Champa Power Project,1,1,2.12,2.12,2.12,,333.72,333.72,308.09,308.09,0,0,0.981602871953044,0.981602871953044,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.12,2.12
L100000102140,coal_power,Dhanras power station,2,2,3.5999999999999996,3.5999999999999996,4.38,1.1030865786510142,331.08500000000004,332.98,304.505,306.83,0,0,0.7948730375701256,0.7178295917666645,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,1,0.0,3.5999999999999996,4.38
L100000102141,coal_power,Dhardai power station,3,3,3.91,2.09,8.3,3.8203010352588715,336.52666666666664,339.82,300.2833333333333,301.99,0,0,0.6281021516386321,0.3810875209410322,1.0,0.25,0.0,0.0,1.0,1.0,1,0.0,3.91,8.3
L100000102142,coal_power,Dongamahua Captive Power Plant,1,1,0.65,0.65,0.65,,303.37,303.37,290.69,290.69,0,1,0.9390500678616353,0.9390500678616353,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1,,0.65,0.65
L100000102144,coal_power,Gare Pelma power station,1,1,1.69,1.69,1.69,,335.43,335.43,306.87,306.87,0,0,0.294753282403827,0.294753282403827,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,1.69,1.69
L100000102145,coal_power,Godhna power station,7,5,7.012857142857143,6.22,9.22,1.6820197609393528,339.15857142857146,348.28,306.32142857142856,310.4,0,0,0.6016932991319346,0.07650028661388,1.4,0.5833333333333334,0.0,0.0,1.4,1.0,2,0.5477225575051662,9.818000000000001,15.440000000000001
L100000102149,coal_power,Hathneora Captive Power Plant,240,188,1.947625,1.8050000000000002,6.79,0.861564564588154,309.00925,335.29,290.9540833333333,304.67,0,237,0.19129158550306344,0.0103481340296028,1.2765957446808511,20.0,0.0,0.9875,1.2765957446808511,1.0,3,0.5253825765539827,2.4863297872340424,6.79
L100000102151,coal_power,Jagdalpur Steel captive power station,420,205,2.3453809523809523,1.81,13.78,1.70221282281243,312.8001428571429,349.29,290.2028095238095,316.92,0,358,0.5937376681684351,0.039743979980949,2.048780487804878,35.0,0.0,0.8523809523809524,2.048780487804878,2.0,5,0.9789755427705527,4.8051707317073165,19.9
L100000102154,coal_power,Khamhar power station,223,147,2.7171300448430493,2.52,7.46,1.1686921219059165,310.6700896860986,339.53,291.35663677130043,310.02,0,214,0.32500123591744196,0.0376550292834515,1.5170068027210883,18.583333333333332,0.0,0.9596412556053812,1.5170068027210883,1.0,6,0.8054075926910328,4.121904761904761,18.09
L100000102156,coal_power,Korba South Thermal Power Project,3,1,6.9366666666666665,5.01,11.03,3.546961140657356,342.47,346.12,305.63000000000005,306.29,0,0,0.7233347867015129,0.5884658563037414,3.0,0.25,0.0,0.0,3.0,3.0,3,,20.81,20.81
L100000102161,coal_power,Kukurda power station,5,4,4.526,4.66,5.51,0.6694998132934765,346.26599999999996,354.49,310.084,313.03,0,0,0.5743756827084845,0.3756884079737482,1.25,0.4166666666666667,0.0,0.0,1.25,1.0,2,0.5,5.6575,9.32
L100000102164,coal_power,Lara Integrated Thermal Power Project,1,1,2.3,2.3,2.3,,329.23,329.23,304.16,304.16,0,0,0.5402822750604442,0.5402822750604442,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.3,2.3
L100000102165,coal_power,Marwa power station,1,1,3.33,3.33,3.33,,334.74,334.74,301.81,301.81,0,0,0.7906215582888279,0.7906215582888279,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.33,3.33
L100000102166,coal_power,Moser Baer Captive Power Project,1,1,5.77,5.77,5.77,,367.0,367.0,302.56,302.56,1,0,0.9052566708560223,0.9052566708560223,1.0,0.08333333333333333,1.0,0.0,1.0,1.0,1,,5.77,5.77
L100000102167,coal_power,Raigarh Ind Power power station,166,155,1.1046385542168675,1.02,4.26,0.4433886612542162,304.2837951807229,313.03,289.5778313253012,299.2,0,166,0.536214271054429,0.2522808308872774,1.070967741935484,13.833333333333334,0.0,1.0,1.070967741935484,1.0,3,0.28168503686142315,1.183032258064516,4.26
L100000102168,coal_power,Raigarh Jindal power station,31,29,3.105483870967742,2.73,6.52,1.5980088416728224,307.5664516129032,335.78,292.94290322580645,307.58,0,27,0.3397373626504995,0.0481705675275867,1.0689655172413792,2.5833333333333335,0.0,0.8709677419354839,1.0689655172413792,1.0,2,0.25788071477756375,3.319655172413793,6.6499999999999995
L100000102170,coal_power,Raigarh Project (Jindal),3,1,6.19,4.0,10.57,3.7931912685758418,345.9266666666667,350.66,310.7333333333333,313.46,0,0,0.823429606239428,0.5408040565513067,3.0,0.25,0.0,0.0,3.0,3.0,3,,18.57,18.57
L100000102171,coal_power,Raigarh project (VISA Power),1,1,5.46,5.46,5.46,,337.09,337.09,300.83,300.83,0,0,0.7215761630665393,0.7215761630665393,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,5.46,5.46
L100000102172,coal_power,JSW Ispat Raigarh power station,246,189,1.7686585365853658,1.6,6.9,0.7986663815694752,309.43939024390244,333.84,291.3986585365854,308.78,0,239,0.3555910837868707,0.0250816071970138,1.3015873015873016,20.5,0.0,0.9715447154471545,1.3015873015873016,1.0,3,0.4827311694572375,2.302063492063492,6.9
L100000102173,coal_power,Raikheda power station,1,1,1.49,1.49,1.49,,330.96,330.96,303.11,303.11,0,0,0.8274236643094074,0.8274236643094074,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,1.49,1.49
L100000102174,coal_power,Raipur Jain power station,9,8,1.1366666666666667,0.68,3.03,0.8530679926008242,304.06333333333333,307.73,291.90555555555557,296.16,0,9,0.7113759469084888,0.2857546030242907,1.125,0.75,0.0,1.0,1.125,1.0,2,0.3535533905932738,1.27875,3.03
L100000102175,coal_power,Raipur Neco power station,158,108,1.3312658227848102,1.105,6.76,0.8381605079985734,307.5293670886076,347.79,289.35810126582277,313.05,0,149,0.6445017983284073,0.0276104892960408,1.462962962962963,13.166666666666666,0.0,0.9430379746835443,1.462962962962963,1.0,4,0.6756917663412951,1.9475925925925925,7.34
L100000102177,coal_power,Ratija Power Project,1,1,1.75,1.75,1.75,,340.08,340.08,305.23,305.23,0,0,0.9874181681491596,0.9874181681491596,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,1.75,1.75
L100000102178,coal_power,Rawan Cement power station,151,131,1.651655629139073,1.65,3.37,0.5671312963368961,307.7362251655629,331.68,291.324238410596,306.14,0,150,0.28771232971924765,0.0130169604247254,1.1526717557251909,12.583333333333334,0.0,0.9933774834437086,1.1526717557251909,1.0,2,0.36105150799698066,1.9038167938931299,5.51
L100000102179,coal_power,Salora power station,1,1,4.23,4.23,4.23,,331.16,331.16,306.09,306.09,0,0,0.9214756128081236,0.9214756128081236,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,4.23,4.23
L100000102181,coal_power,Sapos power station (BEC Power),2,2,6.995000000000001,6.995000000000001,8.96,2.778929650063132,343.245,346.06,311.265,318.69,0,0,0.9661288320411726,0.9520423307492428,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,1,0.0,6.995000000000001,8.96
L100000102182,coal_power,Sapos power station (Suryachakra),1,1,3.9,3.9,3.9,,337.25,337.25,307.7,307.7,0,0,0.7059622340428077,0.7059622340428077,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.9,3.9
L100000102183,coal_power,Siltara SKS power station,234,172,1.556068376068376,1.49,5.84,0.6418668551049588,306.48115384615386,339.91,290.73961538461543,311.0,0,232,0.2666058977174707,0.0119138486485925,1.3604651162790697,19.5,0.0,0.9914529914529915,1.3604651162790697,1.0,4,0.6473118629368821,2.1169767441860468,7.63
L100000102184,coal_power,Siltara Works power station,95,78,1.4821052631578948,1.39,3.61,0.5797961761024888,304.5456842105263,315.64,291.4041052631579,301.47,0,95,0.6131880043532238,0.0512963218215154,1.2179487179487178,7.916666666666667,0.0,1.0,1.2179487179487178,1.0,3,0.47392902908423395,1.8051282051282054,7.07
L100000102187,coal_power,Surguja Ultra Mega Power Project,1,1,1.14,1.14,1.14,,330.18,330.18,299.83,299.83,0,0,0.9482318586741548,0.9482318586741548,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,1.14,1.14
L100000102188,coal_power,SVPL power station,1,1,5.63,5.63,5.63,,348.3,348.3,315.63,315.63,0,0,0.8431138847147627,0.8431138847147627,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,5.63,5.63
L100000102194,coal_power,Ambujanagar Cement Plant power station,11,9,2.7981818181818183,1.11,11.55,4.0553491050261465,317.2890909090909,367.0,294.48545454545456,306.95,2,8,0.24136123990552,0.0577371067520302,1.2222222222222223,0.9166666666666666,0.18181818181818182,0.7272727272727273,1.2222222222222223,1.0,2,0.4409585518440984,3.42,21.89
L100000102196,coal_power,Bhadreshwar Thermal Power Project (Adani),1,1,5.14,5.14,5.14,,333.76,333.76,305.86,305.86,0,0,0.8956861976095807,0.8956861976095807,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,5.14,5.14
L100000102197,coal_power,Bhadreshwar power station (OPG),1,1,3.06,3.06,3.06,,333.81,333.81,301.79,301.79,0,0,0.4932581837950215,0.4932581837950215,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.06,3.06
L100000102199,coal_power,Bhavnagar power station,1,1,6.31,6.31,6.31,,345.81,345.81,316.75,316.75,0,0,0.9668203067686164,0.9668203067686164,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,6.31,6.31
L100000102202,coal_power,Birla Jamnagar power station,1,1,2.96,2.96,2.96,,344.64,344.64,309.6,309.6,0,0,0.937438630707792,0.937438630707792,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.96,2.96
L100000102203,coal_power,Dahej Thermal Power Project,3,3,4.863333333333333,6.16,7.53,3.500033333174605,329.25333333333333,345.68,294.8866666666667,302.8,0,2,0.8354925366708649,0.8034245390651265,1.0,0.25,0.0,0.6666666666666666,1.0,1.0,1,0.0,4.863333333333333,7.53
L100000102206,coal_power,Dhuvaran Super Thermal Power Project,2,2,3.35,3.35,4.84,2.107178207935912,337.475,342.53,305.805,307.69,0,0,0.43629664143482066,0.1592554291545019,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,1,0.0,3.35,4.84
L100000102207,coal_power,Gandhinagar Thermal Power Station,2,2,2.02,2.02,3.13,1.5697770542341354,322.255,342.82,301.47,314.81,0,1,0.7004753624212612,0.5759537219442221,1.0,0.16666666666666666,0.0,0.5,1.0,1.0,1,0.0,2.02,3.13
L100000102209,coal_power,Gujarat Power Project,1,1,3.51,3.51,3.51,,333.41,333.41,305.99,305.99,0,0,0.9034694761608146,0.9034694761608146,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.51,3.51
L100000102210,coal_power,Hazira power station (Essar),79,68,1.93126582278481,1.72,6.08,0.9084988563680588,308.7445569620253,335.52,293.7620253164557,301.28,0,78,0.884019787123682,0.640519931963049,1.161764705882353,6.583333333333333,0.0,0.9873417721518988,1.161764705882353,1.0,2,0.37097266736211576,2.2436764705882353,7.72
L100000102213,coal_power,Kutch GSECL power station,3,1,4.923333333333333,3.63,7.51,2.240119044455748,343.7633333333333,346.24,309.24333333333334,309.87,0,0,0.7052809456208639,0.5510130461067466,3.0,0.25,0.0,0.0,3.0,3.0,3,,14.77,14.77
L100000102214,coal_power,Kutch Welspun power station,82,56,3.152682926829268,1.95,17.93,3.44997121075141,319.1809756097561,367.0,293.85914634146343,316.31,3,65,0.5066816946914717,0.0976824954250704,1.4642857142857142,6.833333333333333,0.036585365853658534,0.7926829268292683,1.4642857142857142,1.0,12,1.5604694598308977,4.616428571428571,110.89999999999999
L100000102220,coal_power,Paguthan power station,1,1,2.53,2.53,2.53,,332.39,332.39,298.8,298.8,0,0,0.5010153070934882,0.5010153070934882,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.53,2.53
L100000102230,coal_power,Tata Mundra Ultra Mega Power Project,1,1,4.53,4.53,4.53,,335.47,335.47,303.77,303.77,0,0,0.5617618474996044,0.5617618474996044,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,4.53,4.53
L100000102238,coal_power,Mahatma Gandhi power station,1,1,1.22,1.22,1.22,,304.12,304.12,289.47,289.47,0,1,0.5639855406897851,0.5639855406897851,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1,,1.22,1.22
L100000102250,coal_power,Bokaro Steel City Thermal Power Station,501,200,2.579241516966068,1.96,18.19,1.9778532361004175,313.9780439121756,355.92,291.2664271457086,316.56,0,424,0.6001286967306525,0.0433589640637036,2.505,41.75,0.0,0.846307385229541,2.505,2.0,7,1.392721568309391,6.461,32.47
L100000102252,coal_power,Chandrapura power station,1,1,1.67,1.67,1.67,,310.02,310.02,291.83,291.83,0,1,0.5624174388587428,0.5624174388587428,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1,,1.67,1.67
L100000102255,coal_power,Chichro Patsimal power station,7,6,1.2914285714285714,1.23,1.64,0.26497978359543906,318.68142857142857,337.36,298.4742857142857,310.13,0,4,0.8932045244192361,0.7439068496205508,1.1666666666666667,0.5833333333333334,0.0,0.5714285714285714,1.1666666666666667,1.0,2,0.408248290463863,1.5066666666666666,3.28
L100000102265,coal_power,Jamshedpur Works power station,460,206,2.175,1.82,8.07,1.2961517535349478,310.6592173913043,367.0,291.45365217391304,310.52,1,412,0.579721560500342,0.0155729531588012,2.233009708737864,38.333333333333336,0.002173913043478261,0.8956521739130435,2.233009708737864,2.0,8,1.326678474806551,4.856796116504855,20.27
L100000102268,coal_power,Jojobera Power Plant,2,1,2.565,2.565,3.46,1.26572113832392,340.615,344.99,298.03999999999996,299.39,0,0,0.860381913478478,0.8423608158035,2.0,0.16666666666666666,0.0,0.0,2.0,2.0,2,,5.13,5.13
L100000102276,coal_power,Maithon Right Bank Thermal Power Station,1,1,2.59,2.59,2.59,,329.87,329.87,295.06,295.06,0,1,0.9944163690543796,0.9944163690543796,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1,,2.59,2.59
L100000102290,coal_power,Tori power plant,1,1,2.61,2.61,2.61,,333.56,333.56,297.47,297.47,0,0,0.2403226115958918,0.2403226115958918,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.61,2.61
L100000102293,coal_power,Bellary Thermal Power Station,2,2,0.61,0.61,0.65,0.05656854249492385,302.09000000000003,302.11,273.86,280.47,0,2,0.8696972170071134,0.8258988402354525,1.0,0.16666666666666666,0.0,1.0,1.0,1.0,1,0.0,0.61,0.65
L100000102295,coal_power,Danapuram BMM power station,181,147,1.5565745856353592,1.48,3.47,0.5836888261693608,305.5835359116022,315.42,290.9339779005525,298.02,0,181,0.31598485965717754,0.0211797237971281,1.2312925170068028,15.083333333333334,0.0,1.0,1.2312925170068028,1.0,3,0.4975009769507083,1.9165986394557823,5.85
L100000102303,coal_power,JSW Vijayanagar Toranagallu power station,70,55,2.1344285714285713,1.9,9.3,1.3386783832065847,308.4784285714286,341.74,292.021,315.92,0,66,0.5200798095110843,0.1016526882557235,1.2727272727272727,5.833333333333333,0.0,0.9428571428571428,1.2727272727272727,1.0,3,0.4889348004153918,2.7165454545454546,12.18
L100000102306,coal_power,Kudgi Super Thermal Power Project,4,1,11.2525,9.629999999999999,20.59,7.137428925507186,319.7475,331.55,293.82,297.73,0,4,0.6534167837797002,0.3730402411962736,4.0,0.3333333333333333,0.0,1.0,4.0,4.0,4,,45.01,45.01
L100000102307,coal_power,Mulwad (Bijapur Luxor) power station,2,2,2.775,2.775,3.11,0.4737615433949868,333.42499999999995,334.26,304.025,307.19,0,0,0.7292565222164699,0.5988594641632383,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,1,0.0,2.775,3.11
L100000102312,coal_power,Vadlur power station,7,6,0.7842857142857144,0.79,1.06,0.24026770783559623,301.8,307.73,289.76714285714286,293.56,0,7,0.5147509802494157,0.4477636230329113,1.1666666666666667,0.5833333333333334,0.0,1.0,1.1666666666666667,1.0,2,0.408248290463863,0.915,1.21
L100000102315,coal_power,Yermarus power station,17,14,0.9711764705882352,0.85,2.27,0.4444643173661579,306.3494117647059,321.37,290.4888235294118,293.97,0,17,0.7996846229057395,0.5793979926772845,1.2142857142857142,1.4166666666666667,0.0,1.0,1.2142857142857142,1.0,2,0.4258153136263201,1.179285714285714,3.76
L100000102332,coal_power,Gadarwara Super Thermal Power Project,1,1,5.36,5.36,5.36,,333.67,333.67,306.98,306.98,0,0,0.3521771368603912,0.3521771368603912,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,5.36,5.36
L100000102343,coal_power,Khandwa power station (Dwarkesh Energy),1,1,3.11,3.11,3.11,,336.74,336.74,299.16,299.16,0,0,0.8885445458823708,0.8885445458823708,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.11,3.11
L100000102352,coal_power,Mohgaon power station,4,4,2.67,2.375,4.18,1.086063227134283,337.17,341.42,306.3775,308.24,0,0,0.5675809032428015,0.0594660935618094,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,1,0.0,2.67,4.18
L100000102357,coal_power,Pench Thermal Power Project,3,2,5.760000000000001,0.79,16.02,8.886861088145803,321.66333333333336,349.09,298.4566666666667,312.68,0,2,0.396491320716487,0.3324178079969936,1.5,0.25,0.0,0.6666666666666666,1.5,1.5,2,0.7071067811865476,8.64,16.02
L100000102359,coal_power,Sanjay Gandhi power station,4,3,5.8925,6.0649999999999995,9.34,3.6138748825418214,348.5975,367.0,310.93,316.95,1,0,0.6838759248204331,0.5472104576712571,1.3333333333333333,0.3333333333333333,0.25,0.0,1.3333333333333333,1.0,2,0.5773502691896257,7.8566666666666665,12.87
L100000102360,coal_power,Sasan Ultra Mega Power Project,1,1,2.88,2.88,2.88,,333.47,333.47,305.5,305.5,0,0,0.0188242668414693,0.0188242668414693,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,2.88,2.88
L100000102366,coal_power,Shree Singaji Thermal Power Project,1,1,3.67,3.67,3.67,,335.26,335.26,308.16,308.16,0,0,0.8833032819550347,0.8833032819550347,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.67,3.67
L100000102367,coal_power,Sidhi Cement Plant power station,3,1,3.3666666666666667,2.29,5.52,1.864841369482491,337.8333333333333,340.71,303.3933333333334,304.0,0,0,0.7756870681421507,0.5645148365371586,3.0,0.25,0.0,0.0,3.0,3.0,3,,10.1,10.1
L100000102376,coal_power,ASTARC power station,2,2,6.095,6.095,10.78,6.625590539717949,323.225,344.12,299.025,306.73,0,1,0.8910645169896528,0.8723230797169801,1.0,0.16666666666666666,0.0,0.5,1.0,1.0,1,0.0,6.095,10.78
L100000102383,coal_power,Bhandewadi power station,2,2,0.895,0.895,1.03,0.19091883092036785,300.155,301.53,289.66,291.1,0,2,0.1732494444081383,0.0918683936919688,1.0,0.16666666666666666,0.0,1.0,1.0,1.0,1,0.0,0.895,1.03
L100000102384,coal_power,Bhigwan Mill power station,1,1,11.16,11.16,11.16,,367.0,367.0,308.1,308.1,1,0,0.7980027134891967,0.7980027134891967,1.0,0.08333333333333333,1.0,0.0,1.0,1.0,1,,11.16,11.16
L100000102387,coal_power,Butibori Power Project,1,1,3.52,3.52,3.52,,342.82,342.82,312.01,312.01,0,0,0.868178467592188,0.868178467592188,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.52,3.52
L100000102400,coal_power,GMR Warora Energy power station,1,1,6.71,6.71,6.71,,350.46,350.46,322.58,322.58,0,0,0.727167947510297,0.727167947510297,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,6.71,6.71
L100000102402,coal_power,Ghugus power station,1,1,12.93,12.93,12.93,,342.87,342.87,316.91,316.91,0,0,0.6256091539071308,0.6256091539071308,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,12.93,12.93
L100000102403,coal_power,Girye Ultra Mega Power Project,2,1,5.93,5.93,5.93,0.0,350.675,354.05,306.82,308.57,0,0,0.4505935195522446,0.441357243782293,2.0,0.16666666666666666,0.0,0.0,2.0,2.0,2,,11.86,11.86
L100000102405,coal_power,JSW Tarapur power station,1,1,1.28,1.28,1.28,,304.47,304.47,292.77,292.77,0,1,0.5734219405676445,0.5734219405676445,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1,,1.28,1.28
L100000102407,coal_power,Khopoli Works power station,3,3,10.18,11.34,16.66,7.131114919842479,344.90333333333336,349.78,313.66333333333336,318.86,0,0,0.6259092084562281,0.4808837999790674,1.0,0.25,0.0,0.0,1.0,1.0,1,0.0,10.18,16.66
L100000102414,coal_power,Manikgarh Cement power station,38,33,1.3328947368421051,1.04,4.32,0.887952116723178,309.0155263157895,354.04,293.0252631578947,302.68,0,34,0.23934998518795345,0.05446712474372,1.1515151515151516,3.1666666666666665,0.0,0.8947368421052632,1.1515151515151516,1.0,3,0.4416738135499517,1.534848484848485,6.26
L100000102416,coal_power,Mendki thermal power project,4,3,6.8725000000000005,7.4350000000000005,10.25,3.8078548204117935,339.5975,344.46,308.67,311.41,0,0,0.8591706917992571,0.7891213555094146,1.3333333333333333,0.3333333333333333,0.0,0.0,1.3333333333333333,1.0,2,0.5773502691896258,9.163333333333334,14.870000000000001
